case,depth,expected,baseline_bestmove,candidate_bestmove,baseline_pass,candidate_pass,baseline_elapsed_ms,candidate_elapsed_ms,baseline_nodes,candidate_nodes,baseline_qnodes,candidate_qnodes,baseline_delta,candidate_delta,baseline_depth_reached,candidate_depth_reached,baseline_engine_elapsed_ms,candidate_engine_elapsed_ms
mate_in_1_scholars,4,h5f7,h5f7,h5f7,PASS,PASS,21,21,394,394,50,50,2,2,4,4,5,5
avoid_horizon_blunder,4,!c4d5,b1c3,b1c3,PASS,PASS,316,316,145408,133120,142087,128992,20455,19627,3,3,300,301
italian_main,6,,c1g5,c1g5,NA,NA,319,319,169984,149504,165316,145441,22946,20774,3,3,303,303
ruy_lopez_closed,6,,b1c3,b1c3,NA,NA,317,318,192512,178176,186934,173062,28965,25706,4,4,302,302
sicilian_najdorf_shell,6,,c1e3,c1e3,NA,NA,272,320,167968,174080,162718,168179,23325,25505,3,3,256,303
french_advance,6,,f1d3,b1d2,NA,NA,254,317,128196,145408,124961,142952,24203,28022,3,2,237,300
caro_kann_classical,6,,g1f3,g1f3,NA,NA,321,319,165888,163840,145031,142582,20562,19818,3,3,304,303
qgd_main,6,,g5f6,g1f3,NA,NA,316,317,167936,157696,164498,156092,24565,23394,3,2,300,300
slav_main,6,,e2e4,e2e4,NA,NA,303,316,176935,176128,162274,151884,29305,22459,5,4,287,300
english_symmetrical,6,,c3e4,g2c6,NA,NA,320,270,176128,153099,160568,137290,25851,24848,4,5,303,253
kings_indian_shell,6,,c1f4,c1f4,NA,NA,246,318,136659,163840,133094,159445,17649,23392,3,3,230,303
nimzo_indian_shell,6,,c1d2,c1d2,NA,NA,316,321,157696,155648,153351,152925,25517,24744,3,3,300,304
scotch_game,6,,c1g5,c1g5,NA,NA,319,308,169984,163840,152957,144582,23514,22902,4,5,302,292
vienna_game,6,,c8f5,e4c3,NA,NA,272,319,141969,157696,134492,150886,18922,21544,4,3,255,303
pirc_setup,6,,c1e3,e4e5,NA,NA,263,316,141232,165888,136379,160436,18783,21657,4,3,246,301
dutch_stonewall_shell,6,,b1c3,c1e3,NA,NA,319,318,151552,149504,144167,136758,23531,19188,4,4,302,303
london_system,6,,b1d2,f1b5,NA,NA,316,318,198656,172032,180019,159193,38517,27869,4,4,300,301
catalan_shell,6,,c1f4,c1f4,NA,NA,317,316,167936,147456,162137,140966,26329,21266,4,4,301,300
benoni_structure,6,,c1f4,g1f3,NA,NA,317,318,180224,198656,169766,182095,26866,26958,4,3,301,302
grunfeld_shell,6,,d5c3,d5c3,NA,NA,317,318,174080,167936,158491,151707,27251,26722,3,3,300,302
scandinavian_main,6,,g1f3,g1f3,NA,NA,317,319,169984,149504,149628,138549,20936,21995,3,3,300,303
evans_gambit,6,,c1a3,d1b3,NA,NA,317,318,163840,147456,159169,143817,25659,25393,3,3,301,302
philidor_setup,6,,c1e3,c1e3,NA,NA,320,317,172032,161792,167321,155895,21418,22502,3,3,303,301
four_knights_spanish,6,,c6d4,c6d4,NA,NA,317,318,204800,159744,202777,158064,31087,23559,2,2,301,302
petrov_main,6,,c1d2,c1f4,NA,NA,316,317,182272,172032,157760,154492,18311,19208,4,4,300,301
endgame_kpk,8,,e2e3,e2e3,NA,NA,24,26,6615,12005,1909,3574,0,0,8,8,8,9
endgame_ocb,8,,c2e4,c2e4,NA,NA,56,54,79298,75726,30503,29762,332,279,8,8,40,39
endgame_rook_push,8,,g1f1,g1f1,NA,NA,23,22,393,393,43,43,0,0,8,8,6,5
endgame_minor_hold,8,,e3d1,e3d1,NA,NA,26,27,22915,22915,7109,7109,0,0,8,8,10,11
